Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,,,
2018-01-02,1313.699951171875,0.0,1317.5999755859375,1302.300048828125,1302.300048828125,0.0,68
2018-01-03,1316.199951171875,0.0,1320.0999755859375,1312.0999755859375,1320.0,0.0,42
2018-01-04,1319.4000244140625,0.0,1322.0,1319.4000244140625,1319.4000244140625,0.0,2
2018-01-05,1320.300048828125,0.0,1320.300048828125,1320.300048828125,1320.300048828125,0.0,1
2018-01-08,1318.5999755859375,0.0,1319.9000244140625,1314.5999755859375,1319.9000244140625,0.0,41
2018-01-09,1311.699951171875,0.0,1311.699951171875,1309.5999755859375,1309.5999755859375,0.0,16
2018-01-10,1317.4000244140625,0.0,1320.699951171875,1315.300048828125,1320.300048828125,0.0,70
2018-01-11,1320.5999755859375,0.0,1320.5999755859375,1316.300048828125,1317.0999755859375,0.0,9
2018-01-12,1333.4000244140625,0.0,1338.199951171875,1327.800048828125,1327.800048828125,0.0,14
2018-01-16,1335.4000244140625,0.0,1335.4000244140625,1331.0,1331.0999755859375,0.0,13
2018-01-17,1338.0,0.0,1338.0,1326.800048828125,1334.4000244140625,0.0,27
2018-01-18,1326.0,0.0,1328.9000244140625,1326.0,1328.9000244140625,0.0,211
2018-01-19,1331.9000244140625,0.0,1333.0,1330.0999755859375,1330.0999755859375,0.0,50
2018-01-22,1330.9000244140625,0.0,1330.9000244140625,1328.4000244140625,1328.4000244140625,0.0,162
2018-01-23,1335.699951171875,0.0,1335.9000244140625,1335.699951171875,1335.800048828125,0.0,47
2018-01-24,1355.9000244140625,0.0,1357.199951171875,1355.9000244140625,1355.9000244140625,0.0,18
2018-01-25,1362.4000244140625,0.0,1362.4000244140625,1346.699951171875,1356.300048828125,0.0,4
2018-01-26,1351.5999755859375,0.0,1352.0,1350.9000244140625,1351.5999755859375,0.0,280546
2018-01-30,1335.4000244140625,0.0,1347.800048828125,1332.800048828125,1338.699951171875,0.0,52100
2018-01-31,1339.0,0.0,1346.9000244140625,1331.800048828125,1337.5,0.0,4881
2018-02-01,1344.300048828125,0.0,1350.5999755859375,1336.800048828125,1343.800048828125,0.0,1680
2018-02-02,1333.699951171875,0.0,1352.0999755859375,1327.699951171875,1348.5,0.0,2841
2018-02-05,1333.0,0.0,1340.199951171875,1329.0,1331.0999755859375,0.0,641
2018-02-06,1326.0999755859375,0.0,1343.699951171875,1319.5,1338.199951171875,0.0,529
2018-02-07,1311.5999755859375,0.0,1331.0999755859375,1310.5,1325.4000244140625,0.0,491
2018-02-08,1316.9000244140625,0.0,1321.0999755859375,1307.0,1317.0999755859375,0.0,459
2018-02-09,1313.0999755859375,0.0,1322.0,1311.9000244140625,1320.9000244140625,0.0,451
2018-02-12,1324.199951171875,0.0,1325.5,1318.0,1323.800048828125,0.0,140
2018-02-13,1328.0999755859375,0.0,1329.5999755859375,1323.4000244140625,1324.5,0.0,71
2018-02-14,1355.5,0.0,1355.5,1324.0,1332.800048828125,0.0,400
2018-02-15,1352.0999755859375,0.0,1355.9000244140625,1349.699951171875,1352.0,0.0,111
2018-02-16,1353.199951171875,0.0,1361.4000244140625,1344.9000244140625,1354.0,0.0,110
2018-02-20,1328.800048828125,0.0,1350.199951171875,1328.5,1348.4000244140625,0.0,283
2018-02-21,1330.0,0.0,1331.5,1324.4000244140625,1326.800048828125,0.0,119
2018-02-22,1330.5999755859375,0.0,1331.4000244140625,1322.0,1322.0,0.0,70
2018-02-23,1328.199951171875,0.0,1332.0999755859375,1327.699951171875,1328.0,0.0,427
2018-02-26,1330.699951171875,0.0,1340.5,1330.699951171875,1335.0,0.0,652
